id,loan_status,probability
58645,1,0.999
58646,0,0.0066
58647,1,0.874
58648,0,0.0042
58649,0,0.042
58650,1,0.9387
58651,0,0.0005
58652,0,0.0027
58653,1,0.6937
58654,0,0.0242
58655,0,0.2019
58656,0,0.096
58657,0,0.0106
58658,0,0.0022
58659,0,0.0148
58660,0,0.0816
58661,0,0.0041
58662,0,0.0008
58663,0,0.086
58664,0,0.0021
58665,0,0.0088
58666,0,0.0015
58667,0,0.0004
58668,0,0.0032
58669,0,0.0075
58670,0,0.0
58671,0,0.0907
58672,0,0.0005
58673,1,0.8867
58674,0,0.0004
58675,0,0.0032
58676,0,0.1446
58677,0,0.0377
58678,0,0.0011
58679,0,0.2882
58680,1,0.9899
58681,0,0.0554
58682,0,0.0002
58683,0,0.0005
58684,0,0.1653
58685,0,0.1431
58686,0,0.0224
58687,0,0.3323
58688,0,0.1822
58689,0,0.1995
58690,0,0.0
58691,0,0.0109
58692,0,0.0071
58693,0,0.0021
58694,0,0.2677
58695,1,0.9585
58696,0,0.009
58697,0,0.0117
58698,0,0.0056
58699,0,0.0049
58700,0,0.0136
58701,0,0.0009
58702,0,0.0166
58703,0,0.0551
58704,1,0.5149
58705,0,0.0645
58706,0,0.0065
58707,0,0.0052
58708,0,0.0342
58709,1,0.9862
58710,0,0.0438
58711,1,0.9691
58712,0,0.0668
58713,0,1e-04
58714,0,0.021
58715,0,0.0022
58716,0,0.1126
58717,0,0.0222
58718,0,0.0647
58719,0,0.0026
58720,0,1e-04
58721,0,0.0706
58722,0,0.1685
58723,0,0.0024
58724,0,0.0067
58725,0,0.0119
58726,0,0.0071
58727,0,0.1448
58728,0,0.1676
58729,0,0.0112
58730,0,0.0033
58731,0,0.0066
58732,0,0.2125
58733,0,0.0
58734,0,0.0059
58735,0,0.0083
58736,0,0.0643
58737,0,0.016
58738,1,0.9987
58739,0,0.3246
58740,1,0.9417
58741,0,0.0708
58742,0,0.001
58743,0,0.0061
58744,0,0.003
58745,0,0.0027
58746,0,0.0551
58747,0,0.0004
58748,0,0.0059
58749,0,0.0116
58750,0,0.0042
58751,0,0.0255
58752,1,0.9714
58753,0,1e-04
58754,0,0.1012
58755,0,0.18
58756,0,0.001
58757,0,0.0174
58758,0,0.0015
58759,0,0.0006
58760,0,0.0009
58761,0,0.0079
58762,0,0.0006
58763,1,0.9769
58764,0,1e-04
58765,0,0.0124
58766,0,0.0031
58767,0,0.0035
58768,1,0.9779
58769,0,0.0004
58770,0,0.0171
58771,0,0.0145
58772,0,0.0205
58773,0,0.0135
58774,0,0.0083
58775,1,0.9466
58776,1,0.8116
58777,0,0.0025
58778,0,0.0424
58779,0,0.0797
58780,0,0.0038
58781,0,0.013
58782,0,0.0618
58783,0,0.019
58784,0,0.003
58785,0,0.0002
58786,0,0.1367
58787,0,0.0207
58788,0,0.2052
58789,0,0.0035
58790,0,0.0277
58791,0,0.0817
58792,0,0.0002
58793,0,0.0259
58794,0,0.0032
58795,0,0.0065
58796,0,0.0085
58797,0,0.0085
58798,0,0.0638
58799,1,0.8331
58800,0,0.0176
58801,0,0.0013
58802,1,0.9123
58803,0,0.2187
58804,1,0.568
58805,1,0.8749
58806,0,0.0425
58807,0,0.0221
58808,0,0.0047
58809,1,0.9626
58810,1,0.9027
58811,0,0.0312
58812,0,0.0244
58813,0,0.0592
58814,0,0.0157
58815,0,0.0003
58816,0,0.0017
58817,0,0.0012
58818,0,0.0211
58819,0,0.0472
58820,0,0.0007
58821,0,0.0198
58822,0,0.0004
58823,0,0.1725
58824,0,0.0458
58825,0,1e-04
58826,0,0.1039
58827,0,0.0077
58828,0,0.0037
58829,0,0.3567
58830,0,0.0039
58831,0,0.2351
58832,0,0.0039
58833,0,0.001
58834,0,0.0018
58835,1,0.9828
58836,0,0.022
58837,0,0.0525
58838,0,0.0035
58839,0,0.0
58840,0,0.0013
58841,1,0.9515
58842,0,0.0004
58843,0,0.0049
58844,0,0.0669
58845,0,0.1104
58846,0,0.0
58847,1,0.9045
58848,0,0.3792
58849,0,0.1361
58850,0,0.0259
58851,0,0.0673
58852,0,0.3373
58853,0,0.0152
58854,1,0.9975
58855,0,0.1694
58856,0,0.0004
58857,0,0.009
58858,0,0.2602
58859,0,0.012
58860,0,0.0013
58861,0,0.0099
58862,0,0.1766
58863,0,0.184
58864,0,0.0029
58865,0,0.1677
58866,0,0.0142
58867,0,0.0
58868,0,0.0313
58869,0,0.0124
58870,0,0.0437
58871,0,0.0003
58872,0,0.0072
58873,0,0.0057
58874,1,0.9588
58875,0,0.0033
58876,0,0.0098
58877,0,1e-04
58878,0,0.0252
58879,0,0.0019
58880,0,0.0141
58881,0,0.0192
58882,0,0.0003
58883,0,0.161
58884,0,0.3487
58885,0,0.3274
58886,0,0.0009
58887,1,0.8421
58888,1,0.5136
58889,1,0.9908
58890,0,0.0925
58891,1,0.5751
58892,0,0.0678
58893,0,0.0051
58894,0,0.0782
58895,0,1e-04
58896,0,0.0024
58897,0,0.0289
58898,0,0.1264
58899,1,0.9728
58900,0,0.0056
58901,0,0.0419
58902,0,0.0979
58903,0,0.0031
58904,0,0.014
58905,0,0.004
58906,0,0.0448
58907,0,0.0718
